N,calculated_pi,error,time
4610, 3.14214837310195260756,-0.00055571951215949156,5.9847e-05
4660, 3.14213991416309257332,-0.00054726057329945732,6.1374e-05
4710, 3.14207643312101980726,-0.00048377953122669126,5.9184e-05
4760, 3.14222352941176552577,-0.00063087582197240977,6.284e-05
4810, 3.14225031185030889702,-0.00065765826051578102,6.3556e-05
4860, 3.14229958847736501326,-0.00070693488757189726,6.5175e-05
4910, 3.14239429735234088170,-0.00080164376254776570,6.657e-05
4960, 3.14252258064517109304,-0.00092992705537797704,6.6806e-05
5010, 3.14253892215568830792,-0.00094626856589519193,7.1032e-05
5060, 3.14259683794466493367,-0.00100418435487181767,6.5905e-05
5110, 3.14278825831701968951,-0.00119560472722657352,6.3076e-05
5160, 3.14275116279069832714,-0.00115850920090521115,6.701e-05
5210, 3.14273781190019585452,-0.00114515831040273852,6.2656e-05
5260, 3.14253384030418114747,-0.00094118671438803148,6.4048e-05
5310, 3.14262071563088385417,-0.00102806204109073818,7.0296e-05
5360, 3.14253134328359928773,-0.00093868969380617173,6.5695e-05
5410, 3.14249833641404885398,-0.00090568282425573798,6.7259e-05
5460, 3.14255824175824560740,-0.00096558816845249140,7.9657e-05
5510, 3.14252486388384166816,-0.00093221029404855216,7.3367e-05
5560, 3.14252733812949625047,-0.00093468453970313448,7.3838e-05
5610, 3.14250980392153467236,-0.00091715033174155636,7.4992e-05
5660, 3.14250388692579996075,-0.00091123333600684475,7.6622e-05
5710, 3.14262697022766834820,-0.00103431663787523220,7.6221e-05
5760, 3.14259166666666889256,-0.00099901307687577656,7.7448e-05
5810, 3.14253012048192470473,-0.00093746689213158874,8.4082e-05
5860, 3.14248873720136279175,-0.00089608361156967575,7.1758e-05
5910, 3.14246768189509895208,-0.00087502830530583608,7.6735e-05
5960, 3.14245771812080221252,-0.00086506453100909653,8.3513e-05
6010, 3.14240199667221453694,-0.00080934308242142095,0.000127302
6060, 3.14244488448845160633,-0.00085223089865849033,8.0118e-05
6110, 3.14251980360066118791,-0.00092715001086807192,7.5592e-05
6160, 3.14254675324675103454,-0.00095409965695791854,7.7927e-05
6210, 3.14257455716585942795,-0.00098190357606631196,8.5349e-05
6260, 3.14252843450479391052,-0.00093578091500079452,8.161e-05
6310, 3.14252931854199601958,-0.00093666495220290358,8.6074e-05
6360, 3.14252704402515847804,-0.00093439043536536204,8.0751e-05
6410, 3.14255039001560199097,-0.00095773642580887497,8.338e-05
6460, 3.14259380804953458721,-0.00100115445974147121,8.3718e-05
6510, 3.14257880184331472861,-0.00098614825352161262,8.3887e-05
6560, 3.14252621951220323382,-0.00093356592241011782,9.3066e-05
6610, 3.14254099848714130161,-0.00094834489734818561,8.8922e-05
6660, 3.14227807807807746343,-0.00068542448828434743,8.7799e-05
6710, 3.14229746646795105036,-0.00070481287815793436,9.6408e-05
6760, 3.14224023668639107498,-0.00064758309659795898,8.9449e-05
6810, 3.14222672540381964268,-0.00063407181402652668,9.0602e-05
6860, 3.14220058309037897359,-0.00060792950058585760,8.7682e-05
6910, 3.14222228654124746683,-0.00062963295145435083,8.6417e-05
6960, 3.14222988505747480303,-0.00063723146768168704,9.308e-05
7010, 3.14215977175463345716,-0.00056711816484034117,9.1107e-05
7060, 3.14220509915014289959,-0.00061244556034978359,9.0891e-05
7110, 3.14220815752461257730,-0.00061550393481946131,9.9447e-05
7160, 3.14217374301675445025,-0.00058108942696133425,8.9893e-05
7210, 3.14223744798890525232,-0.00064479439911213632,8.7055e-05
7260, 3.14227052341597579144,-0.00067786982618267544,9.5198e-05
7310, 3.14229822161422500670,-0.00070556802443189071,9.1795e-05
