N,calculated_pi,error,time
188,3.138404,0.116047,0.000003
189,3.138392,0.115677,0.000005
190,3.138042,0.115237,0.000003
191,3.138094,0.114686,0.000003
192,3.138063,0.114201,0.000003
193,3.138093,0.113792,0.000003
194,3.138062,0.113587,0.000003
195,3.138195,0.113338,0.000003
196,3.138224,0.113004,0.000003
197,3.137848,0.112463,0.000004
198,3.137859,0.112217,0.000003
199,3.137869,0.111993,0.000004
200,3.137800,0.111692,0.000004
201,3.137373,0.111669,0.000004
202,3.137327,0.110990,0.000004
203,3.137281,0.110657,0.000003
204,3.137176,0.110406,0.000004
205,3.137171,0.109802,0.000004
206,3.137165,0.109770,0.000004
207,3.137275,0.109766,0.000004
208,3.137231,0.109326,0.000004
209,3.137129,0.109125,0.000004
210,3.137238,0.109025,0.000004
211,3.137251,0.108549,0.000004
212,3.137245,0.108171,0.000004
213,3.137315,0.107676,0.000004
214,3.137271,0.107390,0.000004
215,3.137377,0.106926,0.000004
216,3.137426,0.106742,0.000004
217,3.137382,0.106284,0.000004
218,3.137248,0.105901,0.000004
219,3.137333,0.105425,0.000004
220,3.137400,0.105197,0.000004
221,3.137303,0.104848,0.000004
222,3.137405,0.104415,0.000004
223,3.137399,0.104324,0.000004
224,3.137411,0.104104,0.000004
225,3.137493,0.104080,0.000004
226,3.137540,0.103766,0.000004
227,3.137410,0.103636,0.000004
228,3.137509,0.103387,0.000004
229,3.137520,0.103313,0.000004
230,3.137409,0.102950,0.000004
231,3.137455,0.102589,0.000004
232,3.137431,0.102841,0.000004
233,3.137631,0.102459,0.000004
234,3.137658,0.102030,0.000004
235,3.137719,0.101688,0.000004
236,3.137780,0.101566,0.000004
237,3.137705,0.101308,0.000004
238,3.137697,0.100998,0.000004
239,3.137305,0.100780,0.000004
240,3.137383,0.100283,0.000004
241,3.137494,0.099833,0.000004
242,3.137504,0.099451,0.000004
243,3.137679,0.099178,0.000004
244,3.137754,0.099522,0.000004
245,3.137682,0.099542,0.000004
246,3.137691,0.099621,0.000004
247,3.138089,0.099555,0.000004
248,3.138210,0.099456,0.000004
249,3.138281,0.099376,0.000004
250,3.138288,0.098840,0.000004
251,3.138327,0.098811,0.000004
252,3.138365,0.098878,0.000004
253,3.138324,0.098721,0.000004
254,3.138299,0.098782,0.000004
255,3.138243,0.098230,0.000004
256,3.138266,0.098201,0.000004
257,3.138241,0.097855,0.000005
258,3.138419,0.097860,0.000005
259,3.138456,0.097894,0.000005
260,3.138277,0.097556,0.000005
261,3.138207,0.097217,0.000005
262,3.138260,0.096968,0.000005
263,3.138281,0.096676,0.000005
264,3.138318,0.096601,0.000005
265,3.138355,0.096172,0.000005
266,3.138346,0.095524,0.000005
267,3.138367,0.095538,0.000005
268,3.138463,0.095336,0.000005
269,3.138528,0.095446,0.000005
270,3.138504,0.095348,0.000005
271,3.138480,0.095398,0.000005
272,3.138485,0.095287,0.000005
273,3.138579,0.095113,0.000005
274,3.138642,0.094989,0.000005
275,3.138662,0.095219,0.000005
276,3.138986,0.094965,0.000005
277,3.138903,0.094835,0.000005
278,3.138835,0.094608,0.000005
279,3.138796,0.094491,0.000005
280,3.138771,0.094332,0.000005
281,3.138776,0.093794,0.000005
282,3.138780,0.093297,0.000005
283,3.138813,0.093396,0.000005
284,3.138845,0.093526,0.000005
285,3.138877,0.093616,0.000005
286,3.138853,0.093052,0.000005
287,3.138899,0.092779,0.000005
288,3.138958,0.092489,0.000005
289,3.139045,0.092257,0.000005
290,3.141669,0.091859,0.000005
291,3.141512,0.091769,0.000005
292,3.141452,0.091695,0.000005
293,3.141406,0.091509,0.000005
294,3.141456,0.090982,0.000005
295,3.141451,0.090672,0.000005
296,3.141459,0.091010,0.000005
297,3.141455,0.090750,0.000005
298,3.141356,0.090793,0.000005
299,3.141405,0.090733,0.000005
300,3.141413,0.090836,0.000005
301,3.141475,0.090234,0.000005
302,3.141563,0.090088,0.000005
303,3.141584,0.089952,0.000005
304,3.141618,0.089851,0.000005
305,3.141534,0.089811,0.000005
306,3.141569,0.089751,0.000005
307,3.141459,0.089451,0.000005
308,3.141506,0.089176,0.000005
309,3.141553,0.089390,0.000005
310,3.141471,0.089265,0.000005
311,3.141453,0.089163,0.000005
312,3.141500,0.088974,0.000005
313,3.141419,0.088950,0.000005
314,3.141299,0.088931,0.000005
315,3.141219,0.088771,0.000005
316,3.141215,0.088572,0.000005
317,3.141274,0.088520,0.000005
318,3.141208,0.088326,0.000006
319,3.141166,0.088108,0.000006
320,3.141125,0.088133,0.000005
321,3.141034,0.088000,0.000005
322,3.141031,0.087776,0.000005
323,3.141077,0.087775,0.000005
324,3.141148,0.087500,0.000006
325,3.141231,0.087316,0.000005
326,3.141239,0.087284,0.000005
327,3.141248,0.087393,0.000006
328,3.141256,0.087336,0.000006
329,3.141179,0.087151,0.000006
330,3.141273,0.086927,0.000006
331,3.141245,0.086589,0.000006
332,3.141289,0.086441,0.000006
333,3.141321,0.086493,0.000006
334,3.141293,0.086433,0.000006
335,3.141301,0.086426,0.000006
336,3.141310,0.086461,0.000006
337,3.141270,0.086397,0.000006
338,3.141231,0.086346,0.000006
339,3.141121,0.086158,0.000006
340,3.141059,0.085900,0.000006
341,3.141079,0.086018,0.000006
342,3.140971,0.086014,0.000006
343,3.140991,0.085688,0.000006
344,3.141035,0.085890,0.000006
345,3.141078,0.085707,0.000006
346,3.141098,0.085399,0.000006
347,3.141084,0.085564,0.000006
348,3.141126,0.085627,0.000006
349,3.141100,0.085627,0.000006
350,3.141109,0.085578,0.000006
351,3.141037,0.085408,0.000006
352,3.141148,0.085210,0.000006
353,3.141167,0.085031,0.000006
354,3.141740,0.084621,0.000006
355,3.141758,0.084631,0.000006
356,3.141719,0.084124,0.000006
357,3.141725,0.084140,0.000006
358,3.141676,0.084247,0.000006
359,3.141671,0.084075,0.000006
360,3.141667,0.083869,0.000006
361,3.141573,0.083529,0.000006
362,3.142044,0.083012,0.000006
363,3.142072,0.083030,0.000006
364,3.142022,0.082949,0.000006
365,3.142016,0.082861,0.000006
366,3.141923,0.082619,0.000006
367,3.141886,0.082665,0.000006
368,3.141913,0.082114,0.000006
369,3.142005,0.082060,0.000006
370,3.141946,0.082206,0.000006
371,3.141962,0.082037,0.000006
372,3.141871,0.081875,0.000006
373,3.141920,0.081807,0.000006
374,3.141818,0.081373,0.000006
375,3.141803,0.081203,0.000006
376,3.141766,0.081209,0.000006
377,3.141772,0.081276,0.000006
378,3.141968,0.081260,0.000006
379,3.141900,0.081068,0.000007
380,3.141895,0.081008,0.000007
381,3.141900,0.080847,0.000007
382,3.142094,0.080735,0.000007
383,3.142099,0.080623,0.000007
384,3.142094,0.080635,0.000007
385,3.142047,0.080318,0.000007
386,3.142073,0.080206,0.000007
387,3.142119,0.079997,0.000007
388,3.142113,0.079911,0.000007
389,3.142139,0.079650,0.000007
390,3.142174,0.079300,0.000007
391,3.142159,0.079293,0.000007
392,3.142143,0.078936,0.000007
393,3.142097,0.078862,0.000007
394,3.142112,0.078806,0.000007
395,3.142147,0.078615,0.000007
396,3.142101,0.078478,0.000007
397,3.142065,0.078409,0.000007
398,3.142101,0.078547,0.000007
399,3.142105,0.078444,0.000007
400,3.142130,0.078367,0.000007
401,3.142035,0.078137,0.000007
402,3.141990,0.078160,0.000007
403,3.141965,0.078056,0.000007
404,3.142139,0.077781,0.000007
405,3.142133,0.077863,0.000007
406,3.142148,0.077764,0.000007
407,3.142133,0.077649,0.000007
408,3.142157,0.077509,0.000007
409,3.142504,0.077214,0.000007
410,3.142498,0.077013,0.000007
411,3.142443,0.076967,0.000007
412,3.142388,0.076686,0.000007
413,3.142363,0.076647,0.000007
414,3.142473,0.076652,0.000007
415,3.142458,0.076771,0.000007
416,3.142481,0.076619,0.000007
417,3.142417,0.076192,0.000007
418,3.142344,0.075870,0.000007
419,3.142301,0.075776,0.000007
420,3.142248,0.075686,0.000007
421,3.142309,0.075645,0.000007
422,3.142332,0.075644,0.000007
423,3.142128,0.075520,0.000007
424,3.142104,0.075394,0.000007
425,3.142099,0.075208,0.000007
426,3.142056,0.075222,0.000007
427,3.142005,0.075051,0.000007
428,3.142000,0.075155,0.000007
429,3.141958,0.074874,0.000007
430,3.141907,0.074737,0.000007
431,3.141893,0.074433,0.000007
432,3.141907,0.074179,0.000007
433,3.141977,0.073943,0.000007
434,3.141917,0.073862,0.000007
435,3.141903,0.073866,0.000007
436,3.141945,0.073673,0.000007
437,3.141986,0.073316,0.000007
438,3.142046,0.073300,0.000007
439,3.142023,0.073269,0.000007
440,3.142000,0.073071,0.000007
441,3.142005,0.072946,0.000007
442,3.141910,0.072802,0.000007
443,3.141923,0.072850,0.000007
444,3.141910,0.072681,0.000007
445,3.141942,0.072544,0.000007
446,3.141910,0.072494,0.000007
447,3.141888,0.072350,0.000007
448,3.141920,0.072457,0.000007
449,3.141933,0.072457,0.000007
450,3.141902,0.072576,0.000007
451,3.141880,0.072302,0.000007
452,3.141867,0.072046,0.000007
453,3.141890,0.072068,0.000008
454,3.141868,0.072034,0.000007
455,3.141899,0.072121,0.000007
456,3.141921,0.072270,0.000008
457,3.141926,0.072152,0.000008
458,3.141886,0.072117,0.000008
459,3.141926,0.072035,0.000008
460,3.141939,0.071966,0.000008
461,3.141961,0.071890,0.000008
462,3.142009,0.072034,0.000008
463,3.142013,0.072005,0.000008
464,3.142017,0.071877,0.000008
465,3.142039,0.071919,0.000008
466,3.142026,0.071876,0.000008
467,3.142030,0.072002,0.000008
468,3.142060,0.071968,0.000008
469,3.142098,0.071953,0.000008
470,3.142136,0.071719,0.000008
471,3.142200,0.071722,0.000008
472,3.142169,0.071684,0.000008
473,3.142173,0.071578,0.000008
474,3.142101,0.071549,0.000008
475,3.142072,0.071626,0.000008
476,3.142118,0.071626,0.000008
477,3.142038,0.071387,0.000008
478,3.142008,0.071544,0.000008
479,3.142021,0.071331,0.000008
480,3.141983,0.071258,0.000008
481,3.141805,0.071113,0.000008
482,3.141793,0.071117,0.000008
483,3.141805,0.071075,0.000008
484,3.141711,0.070969,0.000008
485,3.141724,0.070833,0.000008
486,3.141745,0.070881,0.000008
487,3.141700,0.070987,0.000008
488,3.141697,0.070911,0.000008
489,3.141677,0.070808,0.000008
490,3.141673,0.070958,0.000008
491,3.141809,0.071092,0.000008
492,3.141837,0.070981,0.000008
493,3.141842,0.070930,0.000008
494,3.141854,0.070991,0.000008
495,3.141818,0.070753,0.000008
496,3.141855,0.070638,0.000008
497,3.141843,0.070567,0.000008
498,3.141880,0.070600,0.000008
499,3.141892,0.070582,0.000008
500,3.141912,0.070663,0.000008
501,3.141924,0.070660,0.000008
502,3.141904,0.070593,0.000008
503,3.141885,0.070407,0.000008
504,3.141865,0.070309,0.000008
505,3.141830,0.070106,0.000008
506,3.141810,0.070281,0.000008
507,3.141846,0.070110,0.000008
508,3.141906,0.070251,0.000008
509,3.141965,0.070164,0.000008
510,3.142031,0.069979,0.000009
511,3.141918,0.069832,0.000009
512,3.141906,0.069770,0.000009
513,3.141949,0.069674,0.000009
514,3.141969,0.069495,0.000009
515,3.142019,0.069610,0.000009
516,3.142000,0.069504,0.000009
517,3.141888,0.069399,0.000009
518,3.141907,0.069219,0.000009
519,3.141873,0.069321,0.000009
520,3.141862,0.069261,0.000009
521,3.141873,0.069315,0.000009
522,3.141893,0.069287,0.000009
523,3.141904,0.069243,0.000009
524,3.141901,0.069120,0.000009
525,3.141920,0.069211,0.000009
526,3.142008,0.069151,0.000009
527,3.141791,0.068922,0.000009
528,3.141780,0.068947,0.000009
529,3.141754,0.069018,0.000009
530,3.141766,0.068942,0.000009
531,3.141755,0.068943,0.000009
532,3.141805,0.068886,0.000009
533,3.141681,0.068825,0.000009
534,3.141693,0.068714,0.000009
535,3.141779,0.068602,0.000009
536,3.141761,0.068473,0.000009
537,3.141780,0.068320,0.000009
538,3.141784,0.068189,0.000009
539,3.141781,0.068065,0.000009
540,3.141815,0.068001,0.000009
541,3.141804,0.068092,0.000009
542,3.141838,0.067969,0.000009
