#t		nrmu		nrmv
0.00000	2995279.43838	124090.53133
6.25000	5148321.40493	102611.66766
12.50000	7640365.67845	77916.55122
18.75000	7102054.86604	56789.29772
25.00000	6896089.57221	40413.78546
31.25000	6603155.92348	31068.07102
37.50000	6314685.51965	27474.19780
43.75000	6031347.82401	28382.00391
50.00000	5751942.07445	32729.79514
56.25000	5474463.72767	39614.90615
62.50000	5201369.16063	48262.72602
68.75000	4931489.05266	58058.51339
75.00000	4660176.03349	68506.80683
81.25000	4383749.64169	79171.05756
87.50000	4096529.83914	89668.42928
93.75000	3788858.46160	99650.85102
100.00000	3441808.82840	108770.07067
106.25000	3010170.27403	116598.33667
112.50000	2348616.17356	122358.24283
118.75000	977780.23698	123287.04649
125.00000	279378.15466	111297.00623
131.25000	480002.18851	91452.41071
137.50000	433708.09678	74205.65451
143.75000	389552.50203	59959.70489
150.00000	349321.82069	48238.47644
156.25000	312748.37812	38633.08516
162.50000	279559.17810	30795.39732
168.75000	249511.16204	24429.66852
175.00000	222355.55718	19285.28214
181.25000	197895.49827	15150.38858
187.50000	175907.29113	11846.41058
193.75000	156208.77027	9223.24484
200.00000	138640.25037	7155.11923
206.25000	123021.54609	5537.03644
212.50000	109215.76965	4281.67377
218.75000	97085.22801	3316.71245
225.00000	86489.82249	2582.56739
231.25000	77314.79477	2030.39829
237.50000	69435.68364	1620.41137
243.75000	62735.38487	1320.42304
250.00000	57113.09959	1104.58147
256.25000	52441.63324	952.32438
262.50000	48638.32399	847.43982
268.75000	45579.79907	777.30211
275.00000	43181.49446	732.19358
281.25000	41343.12321	704.75145
287.50000	39976.12826	689.48016
293.75000	38995.96505	682.36595
300.00000	38334.96795	680.52743
306.25000	37915.42574	681.96565
312.50000	37730.24483	685.33868
318.75000	37665.45642	689.78752
325.00000	37685.19586	694.73964
331.25000	37782.92613	699.85594
337.50000	37916.40140	704.96032
343.75000	38086.83579	709.96418
350.00000	38276.23234	714.84323
356.25000	38468.93339	719.60215
362.50000	38679.55717	724.25805
368.75000	38886.02951	728.84171
375.00000	39096.60403	733.37721
381.25000	39316.16277	737.89129
387.50000	39526.69938	742.40872
393.75000	39747.65456	746.94391
400.00000	39967.31365	751.51378
