cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,728.1333375,13.174883937198537,8,4.658024886669402,1.0,0.006397214145780548,1.0,0.006397214145780548
2,509.023422375,4.396940376512805,8,1.5545531783525677,1.4304515381682785,0.004368586763185519,0.7152257690841393,0.0021842933815927595
4,362.306955125,1.8609261118987268,8,0.6579367365053528,2.009713937864609,0.0036495700976310716,0.5024284844661523,0.0009123925244077679
6,612.518457375,30.356881355207907,8,10.73277833097149,1.1887532999747916,0.020829781544083537,0.1981255499957986,0.003471630257347256
8,553.393488875,15.584489422439791,8,5.509949075968598,1.3157605792945462,0.0131005765948169,0.16447007241181827,0.0016375720743521125
10,316.0271745,2.986984803025864,8,1.0560586047603762,2.3040212875744333,0.007699279374135155,0.23040212875744331,0.0007699279374135155
12,472.134352875,11.606791919805735,8,4.10362063715793,1.542216390453539,0.013404385781908787,0.12851803253779492,0.001117032148492399
14,394.170427,3.4603004523396637,8,1.2234009573961269,1.8472551151078618,0.00573339226277838,0.13194679393627584,0.0004095280187698843
16,470.782021,14.489339269178542,8,5.122755026074341,1.5466464414961167,0.016829637663104864,0.0966654025935073,0.001051852353944054
20,468.82932225,21.88714277579843,8,7.738273538782612,1.5530883051545312,0.025634535991674614,0.07765441525772657,0.0012817267995837308
24,501.582322375,11.530838459960098,8,4.0767670339022155,1.4516726467796504,0.011798922981149757,0.060486360282485434,0.0004916217908812399
28,482.087082,17.775042766879018,8,6.2844266381705225,1.5103772008974927,0.01968908744790974,0.05394204288919617,0.000703181694568205
32,459.837583875,19.045670782505024,8,6.7336614812779,1.5834576446842419,0.023187464711766016,0.04948305139638256,0.000724608272242688
36,453.47851125,7.153744413254997,8,2.529230592743994,1.6056622738151851,0.008955419151734392,0.044601729828199585,0.0002487616431037331
40,441.87712625,17.020128561054836,8,6.017524161094355,1.647818577257709,0.022440147979369156,0.04119546443144272,0.0005610036994842289
44,459.36563975,7.204438570747845,8,2.5471536840088596,1.5850844610325472,0.008789193999319472,0.0360246468416488,0.00019975440907544253
48,469.061926625,4.0812076078253305,8,1.4429247874617095,1.5523181400355253,0.004775229442304379,0.03233996125074011,9.948394671467456e-05
52,352.737940625,8.142709846661873,8,2.878882674904541,2.0642331137100087,0.01684730862093948,0.0396967906482694,0.0003239867042488361
56,517.676118625,5.55091742225437,8,1.9625456755413075,1.4065422593454682,0.00533229818651179,0.025116826059740503,9.521961047342482e-05
60,440.73747675,11.833669486141288,8,4.1838339699854155,1.652079471138371,0.015682864691774264,0.027534657852306185,0.0002613810781962377
64,435.777340875,12.405147137712754,8,4.385881831346789,1.6708838877165495,0.016816613894406637,0.026107560745571086,0.0002627595921001037
