cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,725.9622498333333,13.5631619649881,6,5.537137685490881,1.0,0.007627308013277687,1.0,0.007627308013277687
2,661.0181175714287,42.41325906256761,7,16.0307051101872,1.0982486418080468,0.026634217196907554,0.5491243209040234,0.013317108598453777
4,385.573035875,1.0426353522895142,8,0.3686272639543702,1.8828138440383186,0.0018000649715771715,0.47070346100957966,0.00045001624289429286
6,364.843564375,5.133076031386074,8,1.814816435069612,1.9897904765757684,0.009897678928284645,0.3316317460959614,0.0016496131547141075
8,365.107501,5.752754548914939,8,2.0339058760197557,1.9883520547920304,0.011076521070536608,0.2485440068490038,0.001384565133817076
10,527.926652125,24.754970967077963,8,8.752203919448466,1.375119530168072,0.022797345982065446,0.13751195301680721,0.0022797345982065445
12,372.438098125,1.620219200112015,8,0.5728339917039248,1.9492158656381102,0.002998020639207934,0.1624346554698425,0.00024983505326732784
14,324.111671875,3.954180035792613,8,1.3980137586707109,2.239852226344119,0.00966131275588855,0.15998944473886564,0.0006900937682777535
16,306.033894,2.094350148063188,8,0.740464595937265,2.372162901124061,0.005739568977540109,0.14826018132025381,0.0003587230610962568
20,431.743588125,17.775744154406993,8,6.284674616109158,1.681466198458401,0.02447625911757037,0.08407330992292004,0.0012238129558785186
24,470.1444545,12.374372968592258,8,4.375001519511547,1.5441259444512565,0.014369101429636134,0.06433858101880235,0.0005987125595681722
28,418.4053245,11.35476954746364,8,4.014517272911022,1.7350693390455008,0.016647651029824486,0.061966762108767885,0.0005945589653508745
32,479.28979937500003,126.12770034652912,8,44.5928761052478,1.514662425071423,0.14092341199533406,0.047333200783481966,0.0044038566248541895
36,351.01044275,23.291953501069855,8,8.23494913384412,2.0682069859396894,0.048521574441033936,0.057450194053880264,0.0013478215122509428
40,456.11955224999997,10.795359677546626,8,3.81673601667052,1.591605197041481,0.013318299664862046,0.039790129926037025,0.00033295749162155113
44,459.74602525,13.713292157279101,8,4.848380938402175,1.5790506278734453,0.01665232224855129,0.03588751426985103,0.00037846186928525665
48,451.584923375,2.766354665579955,8,0.9780540715993149,1.6075874376135626,0.0034817536136036963,0.033491404950282556,7.253653361674367e-05
52,332.829344375,4.3003921260378695,8,1.5204182170413056,2.1811846284064096,0.009964003774928796,0.0419458582385848,0.00019161545721016915
56,335.074525125,11.091252369597617,8,3.921349881196919,2.166569510357471,0.02535518654805446,0.038688741256383406,0.0004527711883581154
60,525.2843433749999,8.286807539170207,8,2.9298289026675297,1.382036717806892,0.007708455756290704,0.023033945296781533,0.00012847426260484507
64,544.9370005,29.91504485473067,8,10.576565538139896,1.3321948209925845,0.025856283975708154,0.020815544078009132,0.0004040044371204399
