cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,732.8028268749999,10.97660194726374,8,3.880814835647826,1.0,0.0052958513440748605,1.0,0.0052958513440748605
2,498.824823625,2.7573487135533967,8,0.974869986724805,1.46905845933982,0.0028710299346112913,0.73452922966991,0.0014355149673056457
4,453.326140375,3.114838683745876,8,1.1012617777894445,1.6165024727424973,0.00392695727950042,0.4041256181856243,0.000981739319875105
6,366.287164,2.440513547868908,8,0.8628518396378724,2.000623824412804,0.004712810376609166,0.3334373040688006,0.0007854683961015277
8,400.086756625,6.296128103161099,8,2.2260174384822036,1.831609806474683,0.010190778130477337,0.22895122580933538,0.001273847266309667
10,349.651413375,2.1423443758083978,8,0.7574331178854897,2.0958097088801733,0.004540052239369245,0.20958097088801733,0.0004540052239369245
12,403.857393625,20.505644012294127,8,7.249839966845251,1.814508879724611,0.0325731290402919,0.15120907331038425,0.002714427420024325
14,310.936585375,3.543185332620371,8,1.2527051878482887,2.356759742476798,0.009494943003738458,0.16833998160548558,0.000678210214552747
16,467.23601225,10.496786385461272,8,3.7111744169131473,1.5683783091678845,0.012457356249139061,0.09802364432299278,0.0007785847655711913
20,490.05595175,5.144422031422208,8,1.8188278518520589,1.4953452238630014,0.005549928598119467,0.07476726119315007,0.00027749642990597336
24,481.606021375,10.206217681618739,8,3.6084428664693267,1.5215815300291,0.0114004804219626,0.06339923041787916,0.000475020017581775
28,420.725750125,5.833367921014147,8,2.0624070070525877,1.741758916960229,0.00853814104287136,0.06220567560572247,0.0003049336086739771
32,456.51330575,8.721427332529046,8,3.0834902042284953,1.605216797944339,0.010842335173544724,0.050163024935760595,0.0003388229741732726
36,310.549148,3.4074802105913085,8,1.2047261818340396,2.3597000075331067,0.009154082046778355,0.06554722243147519,0.0002542800568549543
40,503.596224625,10.883515456175797,8,3.8479037911052534,1.4551396357680746,0.011118505356605742,0.036378490894201865,0.00027796263391514356
44,335.464221,7.9097887612998665,8,2.7965326354341387,2.184444065869546,0.018210195717070606,0.04964645604248968,0.0004138680844788774
48,460.091749,11.203258607839926,8,3.9609500664950854,1.5927319463296872,0.013711899251476083,0.03318191554853515,0.00028566456773908505
52,420.8202085,5.167475434587061,8,1.8269784607057062,1.7413679573208993,0.007560097366826852,0.03348784533309422,0.0001453864878235933
56,420.31461675,4.075884036321755,8,1.4410426207065545,1.7434626293542999,0.0059774365591549715,0.03113326123846964,0.00010673993855633878
60,427.978702625,4.451873806349768,8,1.573975078728344,1.7122413390674966,0.006297101187350673,0.028537355651124943,0.00010495168645584455
64,437.87339925000003,7.407730846006676,8,2.6190283572080406,1.6735495422424884,0.010009910891671074,0.02614921159753888,0.00015640485768236053
