cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,774.6489276249999,19.355412654269138,8,6.8431717702488095,1.0,0.008833900785520125,1.0,0.008833900785520125
2,504.281935,5.945080633167038,8,2.1019034152066127,1.536142530318878,0.006402813598153933,0.768071265159439,0.0032014067990769664
4,519.020702875,5.478239329896059,8,1.9368500895661755,1.4925202854799513,0.00556969699397018,0.3731300713699878,0.001392424248492545
6,473.20344325,5.299434665815369,8,1.8736330943265562,1.6370314685469058,0.006481770958507254,0.272838578091151,0.001080295159751209
8,343.100161875,2.5631872491961714,8,0.9062235426787528,2.2577923699937625,0.0059634614830471515,0.2822240462492203,0.0007454326853808939
10,332.087447875,4.733732021367319,8,1.673627006314367,2.332665484895361,0.01175597565400235,0.23326654848953612,0.001175597565400235
12,361.02471725,5.631042164453164,8,1.990874049816103,2.145694991538699,0.011832454326158133,0.17880791596155823,0.0009860378605131778
14,361.043322625,7.900317530413973,8,2.793184049641339,2.145584419046559,0.016599149744321706,0.15325602993189708,0.001185653553165836
16,339.49439875,18.94676947118967,8,6.6986945873282355,2.2817723369729084,0.04502252779272318,0.14261077106080677,0.0028139079870451987
20,350.50710737500003,17.568649768690303,8,6.211455693866191,2.2100805128502565,0.03916558864742032,0.11050402564251283,0.001958279432371016
24,469.16502625,29.61856782170915,8,10.471745077882105,1.6511224926902786,0.03685298960582925,0.06879677052876161,0.0015355412335762188
28,303.99528275,13.528483286899753,8,4.783041135667844,2.5482268034470015,0.040093627485403426,0.0910081001231072,0.0014319152673358366
32,487.70908637499997,25.926153017298233,8,9.166279304305824,1.5883422090466686,0.02985219821749497,0.04963569403270839,0.0009328811942967178
36,446.775993625,8.759422186703018,8,3.0969234137468002,1.7338642601177874,0.012018651180986556,0.048162896114382986,0.00033385142169407096
40,384.959144625,24.93063987990809,8,8.814312259201392,2.012288676450609,0.0460748653397202,0.05030721691126523,0.001151871633493005
44,465.354061,12.152424487805929,8,4.296530881592514,1.6646441764370892,0.015369362191780877,0.037832822191752026,0.0003493036861768381
48,437.77904175000003,41.5075488355667,8,14.675134626030498,1.7694975175795973,0.05931671417412562,0.03686453161624161,0.0012357648786276171
52,538.406896625,14.508689559655176,8,5.129596386881319,1.438779726784485,0.013707772568099554,0.027668840899701636,0.0002636110109249914
56,326.053126625,9.833975144042821,8,3.476835255186317,2.375836525916645,0.02533449772241199,0.04242565224851152,0.00045240174504307124
60,524.189219375,4.637187223987783,8,1.6394932658566914,1.4778040047230034,0.004622089933265359,0.02463006674538339,7.703483222108932e-05
64,853.493274875,43.64374087291837,8,15.430392563794534,0.9076215951888462,0.016408984025319272,0.014181587424825722,0.00025639037539561363
