cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,735.62549725,13.897588141025125,8,4.913539408328305,1.0,0.006679403346807124,1.0,0.006679403346807124
2,460.00358,9.420244610724627,8,3.330559422339706,1.5991734178460089,0.011578479660445722,0.7995867089230044,0.005789239830222861
4,327.328097125,1.418697008120012,8,0.5015851374453635,2.2473643531098384,0.0034437757340273077,0.5618410882774596,0.0008609439335068269
6,551.182752875,6.021594476126761,8,2.128955143812344,1.3346308341705837,0.005155040074598278,0.22243847236176395,0.0008591733457663796
8,574.65518275,11.115147061880274,8,3.9297979306706354,1.28011635382749,0.008754116815261438,0.16001454422843625,0.0010942646019076797
10,526.0705800000001,6.691871692230612,8,2.3659339262032812,1.3983399285510318,0.006288851730358231,0.13983399285510317,0.0006288851730358231
12,361.474547125,4.658470257135038,8,1.6470179543880124,2.0350685908615755,0.009272560223724568,0.16958904923846463,0.0007727133519770473
14,330.036930125,5.271958619250661,8,1.8639188449035051,2.2289187363710634,0.012588056842326781,0.15920848116936168,0.0008991469173090558
16,503.504565125,5.885326908267403,8,2.080777283167769,1.4610105810408565,0.006037755837909508,0.09131316131505353,0.00037735973986934425
20,492.085061875,14.19613696220011,8,5.019092356312346,1.4949153190040636,0.015247603782887193,0.07474576595020319,0.0007623801891443597
24,334.9675855,1.270048768518423,8,0.4490300483285003,2.196109501616239,0.002943924123802775,0.0915045625673433,0.00012266350515844897
28,481.76176699999996,17.86861349342217,8,6.31750888580013,1.5269486863410646,0.020023406909582576,0.05453388165503802,0.0007151216753422349
32,523.11600525,17.673675626879053,8,6.2485879421287915,1.4062377940404263,0.016797422436745063,0.04394493106376332,0.0005249194511482832
36,477.82392475,11.486278108806841,8,4.061012570665954,1.539532574964477,0.013084445579303251,0.04276479374901325,0.00036345682164731254
40,339.693703,6.773886108813693,8,2.3949304012637587,2.16555529511832,0.015267737276532838,0.054138882377958,0.000381693431913321
44,484.322437375,13.967496520295493,8,4.938255752850224,1.5188755268846272,0.015486781593589233,0.03451989833828698,0.00035197230894520984
48,471.70449525,10.084698546889028,8,3.5654793643636764,1.5595049541771353,0.011787851904600853,0.032489686545356986,0.00024558024801251777
52,421.946894375,6.944821222400857,8,2.455365090243947,1.743407777274033,0.010145121700016673,0.033527072639885254,0.00019509849423108986
56,433.555436,13.162498469638363,8,4.65364596261942,1.696727652723976,0.018212134216588755,0.030298708084356717,0.0003252166824390849
60,431.712984625,8.454750304053382,8,2.9892056366175854,1.7039688947252498,0.011798379029896786,0.028399481578754163,0.00019663965049827975
64,478.960471375,62.33106625674107,8,22.037359814364798,1.5358793495800727,0.07066705475919847,0.023998114837188635,0.0011041727306124762
