cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,688.99563125,1.4028655921207167,8,0.49598788664092,1.0,0.0007198708731158156,1.0,0.0007198708731158156
2,501.731654125,2.9601934013186884,8,1.0465864138480578,1.3732353252688052,0.002864498228538094,0.6866176626344026,0.001432249114269047
4,289.636508375,4.486826126780887,8,1.5863325901258685,2.3788286743118006,0.013028790719645494,0.5947071685779501,0.0032571976799113736
6,364.873122,0.8281426674249526,8,0.2927926479630498,1.8883156629169302,0.0015152799967972149,0.3147192771528217,0.00025254666613286917
8,404.638757125,3.6806402258084163,8,1.3013028313885582,1.702742555224776,0.005475955205040566,0.212842819403097,0.0006844944006300708
10,412.070607875,4.9378986831750895,8,1.7458108218426145,1.6720329430994119,0.0070838665771226095,0.1672032943099412,0.0007083866577122609
12,313.944381625,5.128150834583279,8,1.8130751150406446,2.1946423365938457,0.012674383234052742,0.18288686138282048,0.0010561986028377285
14,548.6525531249999,8.104529270728747,8,2.865383802828581,1.2557959082221304,0.0065584990620799815,0.08969970773015216,0.0004684642187199987
16,353.12304462500003,2.875225361773883,8,1.0165456753749285,1.951148874981186,0.005616829547278888,0.12194680468632413,0.0003510518467049305
20,332.5489765,1.2363852810205578,8,0.43712820818443576,2.0718621314114913,0.002723416534433662,0.10359310657057456,0.0001361708267216831
24,348.410901625,1.4252037022726582,8,0.5038856012245849,1.9775375226105196,0.002859992838563,0.08239739677543832,0.00011916636827345832
28,342.3019905,5.084350649641112,8,1.7975894111457291,2.012829753760956,0.01057031963651336,0.07188677692003413,0.0003775114155897628
32,338.56931525,2.1688112468517393,8,0.766790569881258,2.0350208959168223,0.004608908020350578,0.0635944029974007,0.00014402837563595557
36,463.62950375,2.9975796008329194,8,1.0598044314477106,1.4860909965331341,0.003397035371824867,0.04128030545925373,9.436209366180185e-05
40,493.799342875,4.215588625098159,8,1.4904356517498913,1.3952947511807683,0.004211421241979535,0.03488236877951921,0.00010528553104948838
44,328.71848324999996,1.375156984703594,8,0.48619141453997833,2.0960051422663653,0.0031000985856536947,0.047636480506053756,7.045678603758397e-05
48,318.773593375,2.7769917190211477,8,0.9818148379093705,2.1613949385057025,0.0066570433226277904,0.0450290612188688,0.00013868840255474563
52,417.939643375,10.026799066018647,8,3.545008806588363,1.6485529481868093,0.013983202627671639,0.031702941311284795,0.0002689077428398392
56,471.3596825,15.607526823342878,8,5.518094027168342,1.4617194826585533,0.017111997156553076,0.026102133618902738,0.00030557137779559063
60,476.672713125,9.1572914287143,8,3.237591433272665,1.445427045179575,0.009817432569644142,0.024090450752992917,0.0001636238761607357
64,432.750909375,12.718809903439043,8,4.496778365672182,1.5921298287855272,0.016544055285208182,0.024877028574773863,0.00025850086383137784
