cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,834.530901375,13.715396008603532,8,4.849124762171233,1.0,0.005810599408819564,1.0,0.005810599408819564
2,705.7328606250001,3.849341089136355,8,1.3609475936141635,1.1825025415933386,0.0022803585863904116,0.5912512707966693,0.0011401792931952058
4,760.7908115,1.4066207177711374,8,0.49731552404673,1.0969255789638306,0.0007170408881083866,0.27423139474095765,0.00017926022202709665
8,790.849200125,9.501483429226779,8,3.3592816820689335,1.0552339197448712,0.004482305825606775,0.1319042399681089,0.0005602882282008468
16,691.35232425,7.254552073045685,8,2.564871482660765,1.2070992923620014,0.004478258686810636,0.07544370577262509,0.00027989116792566474
32,647.24959175,1.636249366518365,8,0.5785015113886642,1.2893494441898965,0.0011524002667275368,0.040292170130934266,3.6012508335235525e-05
64,593.7507047500001,1.439528274042254,8,0.5089501021425222,1.405524060348494,0.0012047844463264,0.02196131344294522,1.882475697385e-05
