1	1.026546e-03	1000000	4.612e+30
2	1.675098e-03	2000000	1.845e+31
3	2.074460e-03	3000000	4.151e+31
4	2.489792e-03	4000000	7.379e+31
5	2.662980e-03	5000000	1.153e+32
6	4.010370e-03	6000000	1.66e+32
7	4.543425e-03	7000000	2.26e+32
8	5.054759e-03	8000000	2.951e+32
9	5.244546e-03	9000000	3.735e+32
10	6.190279e-03	10000000	4.612e+32
11	6.621783e-03	11000000	5.58e+32
12	6.913713e-03	12000000	6.641e+32
13	7.093652e-03	13000000	7.794e+32
14	8.099288e-03	14000000	9.039e+32
15	8.456001e-03	15000000	1.038e+33
16	8.827391e-03	16000000	1.181e+33
17	8.722664e-03	17000000	1.333e+33
18	8.639456e-03	18000000	1.494e+33
19	8.692636e-03	19000000	1.665e+33
20	8.743281e-03	20000000	1.845e+33
21	8.703767e-03	21000000	2.034e+33
22	8.804628e-03	22000000	2.232e+33
23	8.637082e-03	23000000	2.44e+33
24	8.721681e-03	24000000	2.656e+33
25	8.697155e-03	25000000	2.882e+33
26	8.767849e-03	26000000	3.117e+33
27	8.713857e-03	27000000	3.362e+33
28	8.718866e-03	28000000	3.616e+33
29	8.653794e-03	29000000	3.878e+33
30	8.696153e-03	30000000	4.151e+33
31	8.714648e-03	31000000	4.432e+33
32	8.871164e-03	32000000	4.722e+33
