problem_size,size,run_id,init_time,step_time,dxdt_time,norm_time,total_time
2,2,0,0.032330,155.926102,465.017424,1.761750,622.779939
4,4,0,0.022021,159.591172,470.220551,1.870501,631.746976
1,1,0,0.025593,152.668080,478.181267,1.755249,632.684013
8,8,0,0.058932,309.089425,544.906292,6.452302,860.576944
6,6,0,0.053967,309.421689,545.513772,4.660925,859.703654
12,12,0,0.099256,356.594429,678.717903,4.726720,1040.281730
30,30,0,0.010773,472.758937,561.977370,49.511954,1084.358783
16,16,0,0.013954,487.980450,592.971929,4.934579,1086.017836
10,10,0,0.161338,408.297647,672.946323,8.755020,1090.244996
14,14,0,0.128347,503.448091,579.346623,9.455776,1092.482744
64,64,0,0.012069,529.699720,561.935333,32.837004,1124.578713
20,20,0,0.016655,507.783875,600.079211,15.746333,1123.750461
18,18,0,0.217148,509.996616,602.143116,12.517053,1124.981575
22,22,0,0.395374,477.014280,650.634453,27.537806,1155.656739
24,24,0,0.013345,490.783792,659.686271,4.860148,1155.460471
26,26,0,0.012051,465.807426,654.183454,39.795853,1159.877504
28,28,0,0.047820,493.109669,661.006918,9.485439,1163.733635
2,1,0,0.047419,304.787628,927.180284,3.492798,1235.556950
32,32,0,0.011453,779.195641,492.462678,101.419831,1373.170523
4,1,0,0.073424,706.494173,2037.941096,7.646233,2752.210749
6,1,0,0.107680,1021.285888,2969.140914,11.275017,4001.866656
8,1,0,0.127358,1329.160356,3995.774606,14.728579,5339.853615
10,1,0,0.171901,2048.749779,6101.162075,22.988927,8173.141063
128,128,0,0.012283,493.099457,661.941497,334.408716,1489.607851
12,1,0,0.208767,2396.288696,7404.417184,27.730704,9828.714224
14,1,0,0.234885,2799.780969,8617.041437,32.353299,11449.470952
16,1,0,0.244090,3205.242580,9964.619957,37.001728,13207.166582
22,1,0,0.241376,3330.314998,10175.101995,38.318340,13544.016970
18,1,0,0.284588,3618.080144,11068.500204,41.612905,14728.534162
24,1,0,0.258523,3631.755141,11121.458748,41.802665,14795.316866
26,1,0,0.308995,3945.166115,12073.433671,45.477143,16064.453096
20,1,0,0.306017,3981.033522,12302.966979,46.143493,16330.500563
28,1,0,0.325533,4258.473995,13023.510798,49.024082,17331.401328
30,1,0,0.352558,4551.402368,13954.038252,52.578681,18558.424366
32,1,0,0.367348,4859.541267,14862.753217,56.010689,19778.724617
64,1,0,0.576179,9718.630449,30094.399007,112.168045,39925.818127
128,1,0,1.092968,19789.812315,60807.637938,228.664355,80827.260260
