problem_size,max_size,total_time_speedup,total_time_speedup_se,total_time_efficiency,total_time_efficiency_se
1,1,1.0,0.0,1.0,0.001937828217240744
2,2,1.9072239050718278,0.007952160182857286,0.9536119525359139,0.003976080091428643
4,4,3.963032716469824,0.25606881196179,0.990758179117456,0.0640172029904475
6,6,4.219974625333492,0.27015985669583387,0.7033291042222487,0.04502664278263898
8,8,5.1649187827896545,0.08766235875476518,0.6456148478487068,0.010957794844345647
10,10,8.767103453640997,0.2551891004428952,0.8767103453640998,0.025518910044289522
12,12,7.208774646884648,0.341850277048707,0.6007312205737206,0.02848752308739225
14,14,8.155559610051283,0.3457111504485832,0.5825399721465202,0.024693653603470228
16,16,9.467484072020454,0.3924926171188874,0.5917177545012784,0.024530788569930462
18,18,10.335940062189986,0.3393160506623443,0.5742188923438881,0.018850891703463574
20,20,11.267783801222167,0.1639726114314303,0.5633891900611083,0.008198630571571514
22,22,12.846763394899966,0.16922988264612296,0.5839437906772712,0.007692267393005589
24,24,13.907368259579755,0.21575024010681326,0.5794736774824898,0.008989593337783887
26,26,14.902593089778591,0.29605784396755963,0.5731766572991766,0.011386840152598447
28,28,15.600725307814589,0.29315436274766443,0.5571687609933782,0.010469798669559443
30,30,18.370973788879574,0.2982780326445108,0.6123657929626525,0.00994260108815036
32,32,18.124534211221803,0.3225644926384426,0.5663916941006814,0.010080140394951332
64,64,32.09535685900561,,0.5014899509219627,
128,128,44.06988577305205,,0.34429598260196914,
