threads,N,time,iter
1,1048576,1.1318041449412704,440
2,1048576,1.8294650129973888,440
3,1048576,1.7810962023213506,440
4,1048576,1.7101773936301470,440
5,1048576,1.7831789655610919,440
6,1048576,1.8701690472662449,440
7,1048576,1.9575690394267440,440
8,1048576,2.0411566514521837,440
