threads,N,time,iter
1,1024,0.6159664914011955,142011
2,1024,1.3208063812926412,142011
3,1024,1.5432695737108588,142011
4,1024,1.8996625784784555,142011
5,1024,2.1354223871603608,142011
6,1024,2.3249306716024876,142011
7,1024,2.5471901400014758,142011
8,1024,2.8282963680103421,142011
9,1024,3.0645203711465001,142011
10,1024,3.3689791178330779,142011
11,1024,2.9029955882579088,142011
12,1024,3.0763837182894349,142011
13,1024,3.0653042579069734,142011
14,1024,3.2193043055012822,142011
15,1024,3.5240857098251581,142011
16,1024,3.9360025748610497,142011
17,1024,3.8081729728728533,142011
18,1024,4.2011741762980819,142011
19,1024,4.4943280480802059,142011
20,1024,4.6480180025100708,142011
21,1024,4.8068453231826425,142011
22,1024,4.7850406700745225,142011
23,1024,5.0147818205878139,142011
24,1024,5.2260700333863497,142011
25,1024,5.4088677885010839,142011
26,1024,5.3195820022374392,142011
27,1024,5.7992841526865959,142011
28,1024,5.8545891400426626,142011
29,1024,6.0495840003713965,142011
30,1024,7.0825384687632322,142011
31,1024,6.4136483352631330,142011
32,1024,6.2071159714832902,142011
